"ts_code","symbol","name","area","industry","fullname","market","list_date"
"603585.SH",603585,苏利股份,江苏,农药化肥,江苏苏利精细化工股份有限公司,主板,20161214
"603586.SH",603586,金麒麟,山东,汽车配件,山东金麒麟股份有限公司,主板,20170406
"603587.SH",603587,地素时尚,上海,服饰,地素时尚股份有限公司,主板,20180622
"603588.SH",603588,高能环境,北京,环境保护,北京高能时代环境技术股份有限公司,主板,20141229
"603589.SH",603589,口子窖,安徽,白酒,安徽口子酒业股份有限公司,主板,20150629
"603590.SH",603590,康辰药业,北京,生物制药,北京康辰药业股份有限公司,主板,20180827
"603595.SH",603595,东尼电子,浙江,元器件,浙江东尼电子股份有限公司,主板,20170712
"603596.SH",603596,伯特利,安徽,汽车配件,芜湖伯特利汽车安全系统股份有限公司,主板,20180427
"603598.SH",603598,引力传媒,北京,影视音像,引力传媒股份有限公司,主板,20150527
"603599.SH",603599,广信股份,安徽,农药化肥,安徽广信农化股份有限公司,主板,20150513
"603600.SH",603600,永艺股份,浙江,家居用品,永艺家具股份有限公司,主板,20150123
"603601.SH",603601,再升科技,重庆,玻璃,重庆再升科技股份有限公司,主板,20150122
"603602.SH",603602,纵横通信,浙江,通信设备,杭州纵横通信股份有限公司,主板,20170810
"603605.SH",603605,珀莱雅,浙江,日用化工,珀莱雅化妆品股份有限公司,主板,20171115
"603606.SH",603606,东方电缆,浙江,电气设备,宁波东方电缆股份有限公司,主板,20141015
"603607.SH",603607,京华激光,浙江,造纸,浙江京华激光科技股份有限公司,主板,20171025
"603608.SH",603608,天创时尚,广东,服饰,天创时尚股份有限公司,主板,20160218
"603609.SH",603609,禾丰股份,辽宁,饲料,禾丰食品股份有限公司,主板,20140808
"603610.SH",603610,麒盛科技,浙江,家居用品,麒盛科技股份有限公司,主板,20191029
"603611.SH",603611,诺力股份,浙江,运输设备,诺力智能装备股份有限公司,主板,20150128
"603613.SH",603613,国联股份,北京,互联网,北京国联视讯信息技术股份有限公司,主板,20190730
"603615.SH",603615,茶花股份,福建,家居用品,茶花现代家居用品股份有限公司,主板,20170213
"603616.SH",603616,韩建河山,北京,水泥,北京韩建河山管业股份有限公司,主板,20150611
"603617.SH",603617,君禾股份,浙江,机械基件,君禾泵业股份有限公司,主板,20170703
"603618.SH",603618,杭电股份,浙江,电气设备,杭州电缆股份有限公司,主板,20150217
"603619.SH",603619,中曼石油,上海,石油开采,中曼石油天然气集团股份有限公司,主板,20171117
"603626.SH",603626,科森科技,江苏,元器件,昆山科森科技股份有限公司,主板,20170209
"603628.SH",603628,清源股份,福建,电气设备,清源科技股份有限公司,主板,20170112
"603629.SH",603629,利通电子,江苏,元器件,江苏利通电子股份有限公司,主板,20181224
